번호,지역,행정동,정류소ID,정류소 명칭,안내기유형,세부유형,,,,,,,,
304,원미,소사동,11353,소사주민지원센터.부천성모병원후문입구,LCD,독립형,,,,,,,,
305,원미,춘의동,11356,당아래,LCD,독립형,,,,,,,,
306,원미,춘의동,11357,당아래,LED,표지판일체형,,,,,,,,
307,원미,원미동,11358,풍림아파트.산림욕장삼거리,LED,쉘터(거치형),,,,,,,,
308,원미,원미동,11359,풍림아파트.산림욕장삼거리,LED,쉘터(거치형),,,,,,,,
309,소사,소사본동,11360,소사역,LCD,독립형,,,,,,,,
310,원미,원미동,11361,원미두산아파트후문,LCD,독립형,,,,,,,,
311,원미,소사동,11362,대화아파트,LED,쉘터(거치형),,,,,,,,
312,원미,소사동,11363,대화아파트,LCD,독립형,,,,,,,,
313,원미,원미동,11364,시립도서관.중앙레포츠공원.현충원,LCD,독립형,,,,,,,,
314,원미,원미동,11365,시립도서관.중앙레포츠공원.현충원,LCD,독립형,,,,,,,,
315,원미,춘의동,11366,종합운동장,LED,쉘터(거치형),,,,,,,,
316,원미,춘의동,11368,종합운동장,LCD,쉘터(독립형),,,,,,,,
317,원미,역곡동,11372,금강맨션,LCD,독립형,,,,,,,,
318,원미,춘의동,11373,부천종합운동장역1번출구,LCD,쉘터(독립형),,,,,,,,
319,원미,역곡동,11374,금강맨션,LCD,독립형,,,,,,,,
320,원미,역곡동,11375,대진아파트,LCD,독립형,,,,,,,,
321,원미,역곡동,11376,대진아파트,LCD,독립형,,,,,,,,
322,원미,역곡동,11377,가톨릭대학교입구.보람쉬움아파트,LCD,독립형,,,,,,,,
323,원미,춘의동,11378,부천상록학교,LCD,쉘터(독립형),,,,,,,,
324,원미,역곡동,11380,가톨릭대학교입구.보람쉬움아파트,LCD,독립형,,,,,,,,
325,원미,역곡동,11381,역곡2주민지원센터입구,LCD,독립형,,,,,,,,
326,원미,역곡동,11382,역곡2주민지원센터입구,LCD,쉘터(독립형),,,,,,,,
327,원미,역곡동,11384,역곡초.중.고등학교,LCD,쉘터(독립형),,,,,,,,
328,원미,역곡동,11385,역곡안동네,LED,쉘터(거치형),,,,,,,,
329,원미,춘의동,11386,밤골.부천산울림청소년수련관,LCD,쉘터(독립형),,,,,,,,
330,원미,역곡동,11387,역곡초.중.고등학교,LCD,독립형,,,,,,,,
331,원미,역곡동,11388,양문교회,LED,독립형,,,,,,,,
332,원미,역곡동,11389,역곡시장,LCD,쉘터(독립형),,,,,,,,
