시군명,구/읍면동명,업종구분명,시설명,교습과정명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
부천시,중동,학교교과교습학원,수(秀)싸이언스과학보습학원,보습,경기도 부천시 중동 1134번지 새롬프라자6차 5층 일부,"경기도 부천시 원미구 소향로 246, 5층일부 (중동,새롬프라자 6차)",37.50020541,126.775077
부천시,중동,학교교과교습학원,해라수학보습학원,보습,경기도 부천시 중동 1128-2번지 한양프라자 5층 501호 일부,"경기도 부천시 부흥로303번길 50, 5층 501호 일부 (중동)",37.49670242,126.7760488
부천시,중동,학교교과교습학원,러셀바른공부자습전용관제2관독서실,독서실(유아/초·중·고),경기도 부천시 중동 1035-1번지 크리스탈빌딩 4층 402호,"경기도 부천시 길주로 231, 4층 402호 (중동)",37.50450751,126.7681086
부천시,중동,학교교과교습학원,JBDance(제이비댄스)실용무용학원,무용,경기도 부천시 중동 1151-4번지 이스트타워-투 502호,"경기도 부천시 원미구 중동로248번길 31, 502호 (중동,이스트타워-투)",37.50173684,126.7703226
부천시,중동,학교교과교습학원,중동지앤비외국어보습학원,보습,"경기도 부천시 중동 1288번지 푸르지오상가 401~404,410,411호전체","경기도 부천시 원미구 장말로 216번길3 푸르지오상가 401~404,410,411호전체",37.49045576,126.7654615
부천시,중동,평생직업교육학원,Style(스타일)미용학원,이·미용,경기도 부천시 중동 1160번지 (주)부일상호신용금고 4층 일부,경기도 부천시 원미구 소향로 135 (주)부일상호신용금고 4층일부 (중동),37.5022357,126.7629701
부천시,중동,학교교과교습학원,메이플베어어학원,실용외국어(유아/초·중·고),"경기도 부천시 중동 1112번지 위브더스테이트8단지 305호,306호","경기도 부천시 원미구 신흥로 150-1 위브더스테이트8단지 305호,306호",37.4973745,126.7788513
부천시,중동,학교교과교습학원,지캠프클래스보습학원,보습,경기도 부천시 중동 1172번지 2층 205호 일부,"경기도 부천시 부흥로 133, 2층 205호 일부 (중동)",37.49854103,126.7582775
부천시,중동,학교교과교습학원,아발론랭콘부천어학원,실용외국어(유아/초·중·고),경기도 부천시 중동 1031-3번지 영라이프빌딩 4층,경기도 부천시 원미구 길주로 183 영라이프빌딩 4층 (중동),37.50519985,126.7629154
부천시,중동,학교교과교습학원,와와학습코칭보습학원,보습,경기도 부천시 중동 1034-5번지 씨티오피스 303호,"경기도 부천시 원미구 길주로 221, 303호 (중동, 씨티오피스) (중동)",37.50462282,126.7671922
부천시,중동,학교교과교습학원,중동국풍2000입시학원,입시,경기도 부천시 중동 1134-2번지 골드존타워 803호,"경기도 부천시 원미구 조마루로285번길 50, 803호(중동, 골드존타워) (중동)",37.49962009,126.7752484
부천시,중동,학교교과교습학원,중동고려에넹독서실,독서실(유아/초·중·고),경기도 부천시 중동 596-3번지 세화빌딩 6층,경기도 부천시 원미구 부흥로 203 세화빌딩6층 (중동),37.49620372,126.7652736
부천시,중동,학교교과교습학원,야마하음악학원,음악,"경기도 부천시 중동 1160-3번지 필레오트윈파크2동 4층 404,405전체","경기도 부천시 원미구 소향로 149 필레오트윈파크2동 4층 404,405전체",37.50209384,126.7641014
부천시,중동,학교교과교습학원,리더스보습학원,보습,경기도 부천시 중동 596-3번지 세화빌딩 5층,경기도 부천시 원미구 부흥로 203 5층 (중동),37.49620372,126.7652736
부천시,중동,평생직업교육학원,모여진색소폰실용음악학원,실용음악(성악),경기도 부천시 중동 794-1번지 정화프라자 B동 5층 일부,"경기도 부천시 원미구 부일로 374, B동 5층 일부 (중동, 정화프라자)",37.48717905,126.7714645
부천시,중동,학교교과교습학원,비츠어학원,실용외국어(유아/초·중·고),경기도 부천시 중동 1141-5번지 다운타운 604호,경기도 부천시 원미구 길주로 288 다운타운 604호 (중동),37.50261835,126.7741876
부천시,중동,학교교과교습학원,미우벨리댄스학원,무용,경기도 부천시 중동 705-1번지 2층,"경기도 부천시 원미구 부흥로 190, 2층(중동) (중동)",37.49593011,126.7636348
부천시,중동,평생직업교육학원,양지요리제과제빵학원,"식음료품(바리스타,소믈리에)",경기도 부천시 중동 1033-2번지 금영프라자2차 501호,"경기도 부천시 원미구 길주로 195, 금영프라자2차 501호 (중동,금영프라자2차)",37.50504019,126.7641599
부천시,중동,평생직업교육학원,스튜디오구스또조리학원,"식음료품(바리스타,소믈리에)",경기도 부천시 중동 1114번지 위브더스테이트 상가 99동 203호,경기도 부천시 원미구 신흥로 140 위브더스테이트상가 99동 203호 (중동),37.49650883,126.7784694
부천시,중동,학교교과교습학원,튜링의알고리즘컴퓨터학원,컴퓨터(소),경기도 부천시 중동 1128번지 그린프라자 305호,경기도 부천시 원미구 부흥로303번길 62 그린프라자 305호 (중동),37.49726077,126.7759115
부천시,중동,학교교과교습학원,하루수학과학보습학원,보습,"경기도 부천시 중동 1144-1번지 203호 일부, 204호 일부","경기도 부천시 소향로 223, 203호 일부, 204호 일부 (중동)",37.50101112,126.7724056
부천시,중동,학교교과교습학원,아담리즈수학보습학원,보습,경기도 부천시 중동 1058-2번지 중동프라자 504호,"경기도 부천시 원미구 길주로 275, 중동프라자 504호 (중동,중동프라자)",37.50384191,126.7732678
부천시,중동,평생직업교육학원,SNU(에스앤유)성인어학원,어학(성인),"경기도 부천시 중동 1033-3번지 굿모닝프라자 501,502호","경기도 부천시 원미구 길주로 199, 굿모닝프라자 501,502호 (중동,굿모닝프라자)",37.50497781,126.7644994
부천시,중동,학교교과교습학원,부천종로엠입시학원,입시,경기도 부천시 중동 1128-1번지 우성프라자 401호,"경기도 부천시 원미구 부흥로303번길 56, 401호 (중동, 우성프라자) (중동)",37.49698158,126.7759688
