"학교ID",학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000007119,구운초등학교,초등학교,1953-05-13,공립,본교,운영,경상북도 구미시 고아읍 괴평리 350,경상북도 구미시 고아읍 송평구길 79,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2020-09-22,36.1709839193,128.3689812746,2021-03-25
B000006751,오룡초등학교,초등학교,2012-05-01,공립,본교,운영,전라남도 무안군 삼향읍 남악리 2534,전라남도 무안군 삼향읍 남악5로22번길 34,8490000,전라남도교육청,8661000,전라남도무안교육지원청,2013-11-29,2020-09-22,34.80716561,126.4747218392,2021-03-25
B000007113,형일초등학교,초등학교,1993-03-01,공립,본교,운영,경상북도 구미시 형곡동 134,경상북도 구미시 형곡로14길 5-20,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2020-09-22,36.1151450428,128.3299423,2021-03-25
B000003504,다운초등학교,초등학교,1994-04-06,공립,본교,운영,울산광역시 중구 다운동 811,울산광역시 중구 다운8길 5,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2020-09-22,35.56180085,129.2670075611,2021-03-25
B000004119,세교초등학교,초등학교,1997-03-01,공립,본교,운영,경기도 평택시 세교동 556,경기도 평택시 세교공원로 32,7530000,경기도교육청,7631000,경기도평택교육지원청,2013-11-29,2020-09-22,37.00212071,127.0831756242,2021-03-25
B000013053,고창고등학교,고등학교,1919-04-14,공립,본교,운영,전라북도 고창군 고창읍 교촌리 269,전라북도 고창군 고창읍 모양성로 50,8320000,전라북도교육청,8451000,전라북도고창교육지원청,2013-11-29,2020-09-22,35.4374405203,126.7012704465,2021-03-25
B000009904,서원중학교,중학교,1986-03-05,공립,본교,운영,충청북도 청주시 흥덕구 가경동 486-3,충청북도 청주시 흥덕구 가경로189번길 61,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2020-09-22,36.6310740156,127.4335017,2021-03-25
B000007493,남양초등학교,초등학교,1991-03-01,공립,본교,운영,경상남도 창원시 성산구 남양동 18,경상남도 창원시 성산구 가음로13번길 5,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2020-09-22,35.2120622369,128.6982594838,2021-03-25
B000003146,인천봉수초등학교,초등학교,1988-09-01,공립,본교,운영,인천광역시 서구 가정동 284-439,인천광역시 서구 봉오대로267번길 11-4,7310000,인천광역시교육청,7361000,인천광역시서부교육지원청,2013-11-29,2020-09-22,37.5263881160,126.6786861180,2021-03-25
B000008870,신현여자중학교,중학교,1993-02-26,공립,본교,운영,인천광역시 서구 신현동 212-21,인천광역시 서구 새오개로111번길 15,7310000,인천광역시교육청,7361000,인천광역시서부교육지원청,2013-11-29,2020-09-22,37.5208597069,126.6642185108,2021-03-25
