관리번호,노선명,노선번호,기점,종점,총연장,포장도연장 계(단위:㎞),포장도연장 2차선,포장도연장 4차선,포장도연장 6차선,포장도연장 8차선,미개설도연장(단위:㎞)
1017,소로3류93호선,시도1017호선(고강-고강),고강동 327-2,고강동 325,0.118,0,,,,,0.118
1018,소로3류94호선,시도1018호선(고강-고강),고강동 산 67-20,고강동 327-6,0.326,0,,,,,0.326
1019,소로3류95호선,시도1019호선(고강-고강),고강동 490,고강동 502,0.68,0.68,0.68,,,,
1020,소로3류96호선,시도1020호선(고강-고강),고강동 산 63-9,고강동 산 63-9,0.035,0,,,,,0.035
1021,소로3류97호선,시도1021호선(고강-고강),고강동 484,고강동 498,0.498,0.498,0.498,,,,
1022,소로3류98호선,시도1022호선(고강-고강),고강동 502,고강동 501,0.228,0.228,0.228,,,,
1023,소로3류99호선,시도1023호선(고강-고강),고강동484,고강동 505,0.726,0.726,0.726,,,,
1024,소로3류100호선,시도1024호선(고강-고강),고강동 331-1,고강동 325,0.172,0,,,,,0.172
1025,소로3류101호선,시도1025호선(고강-고강),고강동 500,고강동 504,0.215,0.215,0.215,,,,
1026,소로3류102호선,시도1026호선(고강-고강),고강동 326,고강동 327-5,0.118,0,,,,,0.118
1027,소로3류103호선,시도1027호선(고강-고강),고강동 506,고강동 499,0.428,0.428,0.428,,,,
1028,소로3류104호선,시도1028호선(고강-고강),고강동 484,고강동 505,0.918,0.918,0.918,,,,
1029,소로3류105호선,시도1029호선(내동-내동),내동 381,내동 378,0.335,0.335,0.335,,,,
1030,소로3류106호선,시도1030호선(내동-내동),내동 381,내동 378,0.384,0.384,0.384,,,,
1031,소로3류107호선,시도1031호선(내동-내동),내동 365,내동 385,0.39,0.39,0.39,,,,
1032,소로3류108호선,시도1032호선(내동-내동),내동 178-15,내동 180-12,0.15,0.15,0.15,,,,
1033,소로3류109호선,시도1033호선(내동-내동),내동 386,내동 387,0.22,0.22,0.22,,,,
1034,소로3류110호선,시도1034호선(내동-내동),내동 387,내동 389,0.35,0.35,0.35,,,,
1035,소로3류111호선,시도1035호선(내동-내동),내동 384,내동 384,0.093,0.093,0.093,,,,
1036,소로3류112호선,시도1036호선(내동-내동),내동 386,내동 386,0.302,0.302,0.302,,,,
